  O   X X;757;0.5
  O   X O;758;0.5
  O   XX ;759;0.5
  O   XXO;760;0.4625
  O   XO ;761;0.5
  O   XOX;762;0.4625
  O   O X;763;0.5
  O   OX ;764;0.5
  O   OXX;765;0.5
  O  X   ;766;0.9046796276922898
  O  X  X;767;0.5
  O  X  O;768;0.5
  O  X X ;769;0.5
  O  X XO;770;0.5
  O  X O ;771;0.5
  O  X OX;772;0.5
  O  XX  ;773;0.5
  O  XX O;774;0.5
  O  XXXO;775;0.5
  O  XXO ;776;0.5
  O  XXOX;777;0.5
  O  XXOO;778;0.5
  O  XO  ;779;0.5
  O  XO X;780;0.7649944475922582
  O  XOX ;781;0.4625
  O  XOXX;782;0.5
  O  XOXO;783;0.5
  O  XOOX;784;0.5
  O  O  X;785;0.5
  O  O X ;786;0.5
  O  O XX;787;0.4625
  O  OX  ;788;0.5
  O  OX X;789;0.42781250000000004
  O  OXX ;790;0.4625
  O  OXXX;791;0.5
  O  OXXO;792;0.5
  O  OXOX;793;0.5
  O  OOXX;794;0.5
  O X    ;795;0.2387622882329144
  O X   X;796;0.5
  O X   O;797;0.5
  O X  X ;798;0.5
  O X  XO;799;0.5
  O X  O ;800;0.5
  O X  OX;801;0.42781250000000004
  O X X  ;802;0.5
  O X X O;803;0.4625
  O X XXO;804;0.5
  O X XO ;805;0.4625
  O X XOX;806;0.5
  O X XOO;807;0.5
  O X O  ;808;0.5
  O X O X;809;0.39572656250000005
  O X OX ;810;0.39572656250000005
  O X OXX;811;0.5
  O X OXO;812;0.5
  O X OOX;813;0.5
  O XX   ;814;0.5
  O XX  O;815;0.10514888193329701
  O XX XO;816;0.5
  O XX O ;817;0.10514888193329701
  O XX OX;818;0.5
  O XX OO;819;0.5
  O XXX O;820;0.5
  O XXXO ;821;0.5
  O XXXOO;822;0.5
  O XXO  ;823;0.10514888193329701
  O XXO X;824;0.5
  O XXO O;825;0.5
  O XXOX ;826;0.5
  O XXOXO;827;0.5
  O XXOO ;828;0.5
  O XXOOX;829;2.918179273271416e-18
  O XO   ;830;0.5
  O XO  X;831;0.42781250000000004
  O XO X ;832;0.4625
  O XO XX;833;0.5
  O XO XO;834;0.5
  O XO OX;835;0.5
  O XOX  ;836;0.5
  O XOX X;837;0.5
  O XOX O;838;0.5
  O XOXX ;839;0.5
  O XOXXO;840;0.5
  O XOXO ;841;0.5
  O XOXOX;842;0.5
  O XOO X;843;0.5
  O XOOX ;844;0.5
  O XOOXX;845;0.5
  O O   X;846;0.5
  O O  X ;847;0.5
  O O  XX;848;0.4625
  O O X  ;849;0.5
  O O X X;850;0.42781250000000004
  O O XX ;851;0.4625
  O O XXX;852;0.5
  O O XXO;853;0.5
  O O XOX;854;0.5
  O O OXX;855;0.5
  O OX   ;856;0.5
  O OX  X;857;0.5
  O OX X ;858;0.5
  O OX XX;859;0.5
  O OX XO;860;0.5
  O OX OX;861;0.5
  O OXX  ;862;0.4625
  O OXX X;863;0.5
  O OXX O;864;0.5
  O OXXX ;865;0.5
  O OXXXO;866;0.5
  O OXXO ;867;0.5
  O OXXOX;868;0.5
  O OXO X;869;0.5
  O OXOX ;870;0.5
  O OXOXX;871;0.5
  O OO XX;872;0.5
  O OOX X;873;0.5
  O OOXX ;874;0.5
  O OOXXX;875;0.5
  OX     ;876;0.9053074020271458
  OX    X;877;0.5
  OX    O;878;0.5
  OX   X ;879;0.5
  OX   XO;880;0.5
  OX   O ;881;0.5
  OX   OX;882;0.5
  OX  X  ;883;0.5
  OX  X O;884;0.4625
  OX  XXO;885;0.5
  OX  XO ;886;0.4625
  OX  XOX;887;0.5
  OX  XOO;888;0.5
  OX  O  ;889;0.5
  OX  O X;890;0.4805012479074309
  OX  OX ;891;0.5
  OX  OXX;892;0.5
  OX  OXO;893;0.5
  OX  OOX;894;0.5
  OX X   ;895;0.5
  OX X  O;896;0.5
  OX X XO;897;0.5
  OX X O ;898;0.5
  OX X OX;899;0.5
  OX X OO;900;0.5
  OX XX O;901;0.5
  OX XXO ;902;0.5
  OX XXOO;903;0.5
  OX XO  ;904;0.4625
  OX XO X;905;0.5
  OX XO O;906;0.5
  OX XOX ;907;0.5
  OX XOXO;908;0.5
  OX XOO ;909;0.5
  OX XOOX;910;0.5
  OX O   ;911;0.5
  OX O  X;912;0.5
  OX O X ;913;0.5
  OX O XX;914;0.5
  OX O XO;915;0.5
  OX O OX;916;0.5
  OX OX  ;917;0.4625
  OX OX X;918;0.5
  OX OX O;919;0.5
  OX OXX ;920;0.5
  OX OXXO;921;0.5
  OX OXO ;922;0.5
  OX OXOX;923;0.5
  OX OO X;924;0.5
  OX OOX ;925;0.5
  OX OOXX;926;0.5
  OXX    ;927;0.5
  OXX   O;928;0.42781250000000004
  OXX  XO;929;0.5
  OXX  O ;930;0.42781250000000004
  OXX  OX;931;0.5
  OXX  OO;932;0.5
  OXX X O;933;0.5
  OXX XO ;934;0.5
  OXX XOO;935;0.5
  OXX O  ;936;0.42781250000000004
  OXX O X;937;0.5
  OXX O O;938;0.5
  OXX OX ;939;0.5
  OXX OXO;940;0.5
  OXX OO ;941;0.5
  OXX OOX;942;2.381896865752492e-15
  OXXX  O;943;0.5
  OXXX O ;944;0.5
  OXXX OO;945;0.5
  OXXXXOO;946;0.5
  OXXXO  ;947;0.5
  OXXXO O;948;0.5
  OXXXOXO;949;0.5
  OXXXOO ;950;0.5
  OXXXOOX;951;0.5
  OXXXOOO;952;0.5
  OXXO   ;953;0.957134144866036
  OXXO  X;954;0.5
  OXXO  O;955;0.5
  OXXO X ;956;0.5
  OXXO XO;957;0.5
  OXXO O ;958;0.5
  OXXO OX;959;0.2897090976959229
  OXXOX  ;960;0.5
  OXXOX O;961;0.5
  OXXOXXO;962;0.5
  OXXOXO ;963;0.5
  OXXOXOX;964;0.5
  OXXOXOO;965;0.5
  OXXOO  ;966;0.5
  OXXOO X;967;2.203254600821055e-15
  OXXOOX ;968;0.5
  OXXOOXX;969;0.5
  OXXOOXO;970;0.5
  OXXOOOX;971;0.5
  OXO    ;972;0.5
  OXO   X;973;0.5
  OXO  X ;974;0.5
  OXO  XX;975;0.5
  OXO  XO;976;0.5
  OXO  OX;977;0.5
  OXO X  ;978;0.4625
  OXO X X;979;0.5
  OXO X O;980;0.5
  OXO XX ;981;0.5
  OXO XXO;982;0.5
  OXO XO ;983;0.5
  OXO XOX;984;0.5
  OXO O X;985;0.5
  OXO OX ;986;0.5
  OXO OXX;987;0.9999999999999993
  OXOX   ;988;0.9999999999999993
  OXOX  X;989;0.5
  OXOX  O;990;0.5
  OXOX X ;991;0.5
  OXOX XO;992;0.5
  OXOX O ;993;0.5
  OXOX OX;994;0.5
  OXOXX  ;995;0.5
  OXOXX O;996;0.5
  OXOXXXO;997;0.5
  OXOXXO ;998;0.5
  OXOXXOX;999;0.5
  OXOXXOO;1000;0.5
  OXOXO  ;1001;0.5
  OXOXO X;1002;0.9999999999999993
  OXOXOX ;1003;0.5
  OXOXOXX;1004;0.5
  OXOXOXO;1005;0.5
  OXOXOOX;1006;0.5
  OXOO  X;1007;0.5
  OXOO X ;1008;0.5
  OXOO XX;1009;0.5
  OXOOX  ;1010;0.5
